,velocity_threshold,interpolation_radius,max_gap,min_duration,splits,missing,overlaps,pid,tid
0,50,80,80,60,0.33869731800766284,0.518007662835249,0.14329501915708812,p10,t1
1,50,80,80,60,0.2634920634920635,0.6666666666666666,0.06984126984126984,p100,t2
2,50,80,80,60,0.06111111111111111,0.9194444444444444,0.019444444444444445,p100,t3
3,50,80,80,60,0.20103986135181975,0.6672443674176777,0.1317157712305026,p100,t4
4,50,80,80,60,0.5595567867036011,0.13019390581717452,0.31024930747922436,p101,t1
5,50,80,80,60,0.5070422535211268,0.22535211267605634,0.2676056338028169,p101,t2
6,50,80,80,60,0.5951219512195122,0.17560975609756097,0.22926829268292684,p101,t3
7,50,80,80,60,0.47305389221556887,0.18263473053892215,0.344311377245509,p101,t4
8,50,80,80,60,0.5139500734214391,0.18795888399412627,0.29809104258443464,p102,t1
9,50,80,80,60,0.5805555555555556,0.19444444444444445,0.225,p102,t2
10,50,80,80,60,0.43832020997375326,0.1784776902887139,0.38320209973753283,p102,t3
11,50,80,80,60,0.47841989758595466,0.1572787125091441,0.36430138990490124,p102,t4
12,50,80,80,60,0.5392405063291139,0.0759493670886076,0.3848101265822785,p103,t1
13,50,80,80,60,0.46768507638072854,0.17743830787309048,0.35487661574618096,p103,t2
14,50,80,80,60,0.5213675213675214,0.20512820512820512,0.27350427350427353,p103,t3
15,50,80,80,60,0.578125,0.16741071428571427,0.2544642857142857,p103,t4
16,50,80,80,60,0.46551724137931033,0.2672413793103448,0.2672413793103448,p104,t1
17,50,80,80,60,0.4,0.3605263157894737,0.2394736842105263,p104,t2
18,50,80,80,60,0.40236686390532544,0.35502958579881655,0.24260355029585798,p104,t3
19,50,80,80,60,0.32006773920406434,0.5342929720575783,0.14563928873835733,p104,t4
20,50,80,80,60,0.532394366197183,0.16338028169014085,0.30422535211267604,p105,t1
21,50,80,80,60,0.47697974217311234,0.1878453038674033,0.3351749539594843,p105,t2
22,50,80,80,60,0.42748091603053434,0.24427480916030533,0.3282442748091603,p105,t3
23,50,80,80,60,0.4909090909090909,0.07272727272727272,0.43636363636363634,p105,t4
24,50,80,80,60,0.4691358024691358,0.45267489711934156,0.07818930041152264,p106,t1
25,50,80,80,60,0.4195121951219512,0.5219512195121951,0.05853658536585366,p106,t2
26,50,80,80,60,0.2729528535980149,0.6377171215880894,0.08933002481389578,p106,t3
27,50,80,80,60,0.21534653465346534,0.7425742574257426,0.04207920792079208,p106,t4
28,50,80,80,60,0.2713815789473684,0.6101973684210527,0.11842105263157894,p107,t1
29,50,80,80,60,0.5,0.25135135135135134,0.24864864864864866,p11,t2
30,50,80,80,60,0.45645161290322583,0.23387096774193547,0.3096774193548387,p11,t4
31,50,80,80,60,0.3605108055009823,0.49656188605108054,0.14292730844793713,p12,t3
32,50,80,80,60,0.3161512027491409,0.5899198167239404,0.09392898052691867,p13,t3
33,50,80,80,60,0.2918350848827809,0.5929668552950688,0.11519805982215037,p13,t4
34,50,80,80,60,0.5441696113074205,0.19434628975265017,0.26148409893992935,p14,t3
35,50,80,80,60,0.4838709677419355,0.043010752688172046,0.4731182795698925,p15,t2
36,50,80,80,60,0.5349056603773585,0.03207547169811321,0.4330188679245283,p15,t4
37,50,80,80,60,0.52,0.0496,0.4304,p17,t2
38,50,80,80,60,0.4611872146118721,0.0867579908675799,0.4520547945205479,p17,t3
39,50,80,80,60,0.47493036211699163,0.054317548746518104,0.47075208913649025,p18,t1
40,50,80,80,60,0.24274406332453827,0.6561125769569042,0.1011433597185576,p19,t2
41,50,80,80,60,0.2264957264957265,0.6887464387464387,0.08475783475783476,p19,t3
42,50,80,80,60,0.39684395090590296,0.4097019286966686,0.1934541203974284,p20,t1
43,50,80,80,60,0.36229635376260666,0.5298681148176881,0.1078355314197052,p21,t3
44,50,80,80,60,0.36881908086096565,0.5421756835369401,0.08900523560209424,p21,t4
45,50,80,80,60,0.5541547277936962,0.15931232091690545,0.28653295128939826,p22,t4
46,50,80,80,60,0.5197109067017083,0.06964520367936924,0.41064388961892245,p23,t1
47,50,80,80,60,0.17884130982367757,0.7682619647355163,0.05289672544080604,p24,t3
48,50,80,80,60,0.21394799054373523,0.7505910165484634,0.03546099290780142,p24,t4
49,50,80,80,60,0.5339528234453181,0.09578270192994996,0.37026447462473194,p25,t3
50,50,80,80,60,0.581151832460733,0.11780104712041885,0.3010471204188482,p25,t4
51,50,80,80,60,0.4683229813664596,0.29316770186335406,0.23850931677018633,p26,t3
52,50,80,80,60,0.3111521873074553,0.5847196549599507,0.10412815773259396,p26,t4
53,50,80,80,60,0.3885542168674699,0.44879518072289154,0.16265060240963855,p27,t1
54,50,80,80,60,0.5476718403547672,0.12971175166297116,0.32261640798226165,p28,t1
55,50,80,80,60,0.49159663865546216,0.12745098039215685,0.38095238095238093,p29,t3
56,50,80,80,60,0.5752105896510229,0.11672683513838748,0.30806257521058966,p29,t4
57,50,80,80,60,0.4397163120567376,0.4326241134751773,0.1276595744680851,p30,t4
58,50,80,80,60,0.5222066386161758,0.24731182795698925,0.23048153342683497,p31,t1
59,50,80,80,60,0.48659440958357103,0.35995436394751856,0.15345122646891043,p32,t2
60,50,80,80,60,0.48090040927694405,0.0688949522510232,0.45020463847203274,p33,t3
61,50,80,80,60,0.5264900662251656,0.055463576158940396,0.41804635761589404,p33,t4
62,50,80,80,60,0.3377808988764045,0.5140449438202247,0.14817415730337077,p34,t2
63,50,80,80,60,0.5526561043802423,0.15284249767008387,0.29450139794967384,p35,t2
64,50,80,80,60,0.5171990171990172,0.20884520884520885,0.273955773955774,p35,t3
65,50,80,80,60,0.5467625899280576,0.25539568345323743,0.19784172661870503,p37,t3
66,50,80,80,60,0.38819875776397517,0.39751552795031053,0.21428571428571427,p37,t4
67,50,80,80,60,0.3354632587859425,0.5623003194888179,0.10223642172523961,p39_test,t2
68,50,80,80,60,0.5402010050251256,0.07035175879396985,0.38944723618090454,p40,t2
69,50,80,80,60,0.5392156862745098,0.0784313725490196,0.38235294117647056,p41,t2
70,50,80,80,60,0.5167652859960552,0.05917159763313609,0.4240631163708087,p41,t3
71,50,80,80,60,0.38961038961038963,0.5002405002405003,0.11014911014911015,p43,t1
72,50,80,80,60,0.24061810154525387,0.6661147902869757,0.09326710816777042,p43,t3
73,50,80,80,60,0.41776315789473684,0.4331140350877193,0.14912280701754385,p44,t2
74,50,80,80,60,0.4838709677419355,0.14095371669004209,0.3751753155680224,p45,t1
75,50,80,80,60,0.3980815347721823,0.38968824940047964,0.21223021582733814,p45,t2
76,50,80,80,60,0.4811218985976268,0.37216828478964403,0.14670981661272922,p45,t3
77,50,80,80,60,0.5007987220447284,0.034345047923322686,0.46485623003194887,p46,t1
78,50,80,80,60,0.4743859649122807,0.047017543859649125,0.4785964912280702,p46,t3
79,50,80,80,60,0.5507246376811594,0.18333333333333332,0.26594202898550723,p47,t1
80,50,80,80,60,0.4630981346309814,0.3584752635847526,0.17842660178426603,p47,t2
81,50,80,80,60,0.5008431703204047,0.2563237774030354,0.24283305227655985,p47,t3
82,50,80,80,60,0.5039370078740157,0.24114173228346455,0.2549212598425197,p48,t1
83,50,80,80,60,0.5139344262295082,0.2967213114754098,0.18934426229508197,p48,t3
84,50,80,80,60,0.5706422018348624,0.07339449541284404,0.3559633027522936,p49,t1
85,50,80,80,60,0.5352697095435685,0.15056312981624184,0.3141671606401897,p49,t3
86,50,80,80,60,0.4253092293054234,0.39200761179828736,0.18268315889628925,p50,t2
87,50,80,80,60,0.46111111111111114,0.19444444444444445,0.34444444444444444,p50,t3
88,50,80,80,60,0.479661912308505,0.3127311146328579,0.2076069730586371,p51,t1
89,50,80,80,60,0.37952176578786023,0.49908031882280807,0.1213979153893317,p51,t2
90,50,80,80,60,0.42501447596989,0.4736537348002316,0.1013317892298784,p51,t3
91,50,80,80,60,0.5120481927710844,0.14457831325301204,0.3433734939759036,p52,t1
92,50,80,80,60,0.5268432355046528,0.28561202576950606,0.1875447387258411,p52,t2
93,50,80,80,60,0.48353293413173654,0.3398203592814371,0.17664670658682635,p52,t3
94,50,80,80,60,0.5135327635327636,0.14957264957264957,0.3368945868945869,p53,t1
95,50,80,80,60,0.5185426154847105,0.14508783344176968,0.33636955107351985,p53,t2
96,50,80,80,60,0.522595596755504,0.2085747392815759,0.2688296639629201,p54,t1
97,50,80,80,60,0.5128805620608899,0.20843091334894615,0.2786885245901639,p54,t3
98,50,80,80,60,0.4656084656084656,0.3298059964726631,0.20458553791887124,p55,t1
99,50,80,80,60,0.48654545454545456,0.35345454545454547,0.16,p55,t2
100,50,80,80,60,0.5003750937734434,0.07051762940735183,0.4291072768192048,p56,t1
101,50,80,80,60,0.5459459459459459,0.12792792792792793,0.3261261261261261,p56,t2
102,50,80,80,60,0.4624145785876993,0.3788914198936978,0.15869400151860288,p57,t2
103,50,80,80,60,0.4911742133537989,0.2985418265541059,0.21028396009209516,p57,t3
104,50,80,80,60,0.47702991452991456,0.2708333333333333,0.25213675213675213,p58,t1
105,50,80,80,60,0.4852941176470588,0.3382352941176471,0.17647058823529413,p58,t2
106,50,80,80,60,0.3898305084745763,0.4708097928436911,0.1393596986817326,p58,t3
107,50,80,80,60,0.5010924981791697,0.08448652585579024,0.4144209759650401,p59,t1
108,50,80,80,60,0.5662514156285391,0.19026047565118911,0.2434881087202718,p59,t3
109,50,80,80,60,0.3778656126482213,0.5486166007905139,0.07351778656126483,p60,t1
110,50,80,80,60,0.0843520782396088,0.8899755501222494,0.02567237163814181,p60,t2
111,50,80,80,60,0.42071494042163154,0.43629697525206235,0.14298808432630614,p61,t2
112,50,80,80,60,0.06577344701583435,0.9147381242387332,0.0194884287454324,p62,t1
113,50,80,80,60,0.08181818181818182,0.9075757575757576,0.010606060606060607,p62,t2
114,50,80,80,60,0.05263157894736842,0.011695906432748537,0.935672514619883,p63,t1
115,50,80,80,60,0.5991735537190083,0.1537190082644628,0.24710743801652893,p63,t3
116,50,80,80,60,0.34593572778827975,0.5775047258979206,0.07655954631379962,p64,t1
117,50,80,80,60,0.27622097678142515,0.6589271417133707,0.06485188150520416,p64,t2
118,50,80,80,60,0.3238341968911917,0.5751295336787565,0.10103626943005181,p64,t3
119,50,80,80,60,0.45765765765765765,0.35195195195195195,0.19039039039039038,p65,t2
120,50,80,80,60,0.3669064748201439,0.5539568345323741,0.07913669064748201,p65,t3
121,50,80,80,60,0.17650714729645742,0.7880671224362958,0.035425730267246734,p66,t1
122,50,80,80,60,0.23766233766233766,0.6961038961038961,0.06623376623376623,p66,t3
123,50,80,80,60,0.32954545454545453,0.5377066115702479,0.1327479338842975,p67,t1
124,50,80,80,60,0.2974442631865144,0.6237085372485046,0.07884719956498097,p67,t2
125,50,80,80,60,0.41391184573002754,0.3939393939393939,0.1921487603305785,p68,t1
126,50,80,80,60,0.37214137214137216,0.5254677754677755,0.1023908523908524,p68,t2
127,50,80,80,60,0.33650083845723866,0.5623253214086081,0.10117384013415316,p69,t1
128,50,80,80,60,0.5685185185185185,0.20493827160493827,0.22654320987654322,p70,t2
129,50,80,80,60,0.5174574753804835,0.1584601611459266,0.32408236347359,p70,t3
130,50,80,80,60,0.5417721518987342,0.07341772151898734,0.3848101265822785,p71,t1
131,50,80,80,60,0.5595238095238095,0.08928571428571429,0.35119047619047616,p71,t2
132,50,80,80,60,0.18141916605705927,0.7768836869056328,0.04169714703730797,p72,t2
133,50,80,80,60,0.28842105263157897,0.6357894736842106,0.07578947368421053,p72,t3
134,50,80,80,60,0.4762449914138523,0.17229536348025187,0.35145964510589583,p73,t2
135,50,80,80,60,0.4796416938110749,0.32003257328990226,0.2003257328990228,p73,t3
136,50,80,80,60,0.1469945355191257,0.7923497267759563,0.060655737704918035,p74,t1
137,50,80,80,60,0.11007827788649706,0.8615459882583171,0.02837573385518591,p74,t2
138,50,80,80,60,0.15616127200454288,0.7677455990914254,0.0760931289040318,p74,t3
139,50,80,80,60,0.4293193717277487,0.40575916230366493,0.1649214659685864,p75,t1
140,50,80,80,60,0.36363636363636365,0.5454545454545454,0.09090909090909091,p75,t2
141,50,80,80,60,0.28726708074534163,0.6061076604554866,0.10662525879917184,p75,t3
142,50,80,80,60,0.548471615720524,0.20436681222707423,0.24716157205240175,p76,t1
143,50,80,80,60,0.5384615384615384,0.17194570135746606,0.2895927601809955,p76,t2
144,50,80,80,60,0.49794661190965095,0.28336755646817247,0.21868583162217659,p76,t3
145,50,80,80,60,0.5076233183856502,0.30672645739910315,0.18565022421524663,p77,t1
146,50,80,80,60,0.44170212765957445,0.2765957446808511,0.2817021276595745,p77,t2
147,50,80,80,60,0.4516268980477223,0.2859002169197397,0.26247288503253796,p77,t3
148,50,80,80,60,0.5170157068062827,0.18848167539267016,0.29450261780104714,p78,t1
149,50,80,80,60,0.5405727923627685,0.21837708830548927,0.24105011933174225,p78,t2
150,50,80,80,60,0.519208381839348,0.229918509895227,0.2508731082654249,p78,t3
151,50,80,80,60,0.20207253886010362,0.7538860103626943,0.04404145077720207,p79,t2
152,50,80,80,60,0.1196319018404908,0.8159509202453987,0.06441717791411043,p79,t3
153,50,80,80,60,0.2916666666666667,0.5416666666666666,0.16666666666666666,p80,t1
154,50,80,80,60,0.5162011173184358,0.0782122905027933,0.40558659217877097,p80,t2
