type,pid,tid,splits,missing,overlaps,sequence_diff
old_vs_fixed,p28,t3,0.00597609561752988,0.01195219123505976,0.9820717131474104,0.745697896749522
old_vs_fixed,p64,t3,0.0,0.0,1.0,0.7486338797814208
old_vs_fixed,p93,t4,0.009259259259259259,0.0,0.9907407407407407,0.75
old_vs_fixed,p105,t4,0.01282051282051282,0.0,0.9871794871794872,0.75
old_vs_fixed,p106,t4,0.0,0.018018018018018018,0.9819819819819819,0.7522522522522522
old_vs_fixed,p89,t4,0.0,0.0106951871657754,0.9893048128342246,0.7540106951871658
old_vs_fixed,p85,t1,0.034482758620689655,0.017241379310344827,0.9482758620689655,0.7542372881355932
old_vs_fixed,p34,t2,0.001392757660167131,0.001392757660167131,0.9972144846796658,0.7554794520547945
old_vs_fixed,p49,t3,0.0072992700729927005,0.0040551500405515,0.9886455798864558,0.7568843430369787
old_vs_fixed,p12,t3,0.0010050251256281408,0.0,0.9989949748743718,0.757271815446339
old_vs_fixed,p89,t3,0.004149377593360996,0.008298755186721992,0.9875518672199171,0.7593360995850622
old_vs_fixed,p72,t3,0.0029069767441860465,0.005813953488372093,0.9912790697674418,0.7614942528735632
old_vs_fixed,p85,t3,0.0,0.023529411764705882,0.9764705882352941,0.7647058823529411
old_vs_fixed,p86,t2,0.0,0.0012970168612191958,0.9987029831387808,0.7658064516129032
old_vs_fixed,p20,t2,0.0054525627044711015,0.006543075245365322,0.9880043620501636,0.7660850599781898
old_vs_fixed,p11,t3,0.0014367816091954023,0.0,0.9985632183908046,0.7661971830985915
old_vs_fixed,p51,t3,0.008918617614269788,0.012263099219620958,0.9788182831661093,0.7675585284280937
old_vs_fixed,p22,t4,0.017421602787456445,0.004878048780487805,0.9777003484320558,0.7682679296346414
old_vs_fixed,p65,t2,0.02436738519212746,0.01218369259606373,0.9634489222118088,0.7686025408348457
old_vs_fixed,p64,t2,0.004866180048661801,0.0024330900243309003,0.9927007299270073,0.7686746987951807
old_vs_fixed,p74,t2,0.010676156583629894,0.0071174377224199285,0.9822064056939501,0.7695035460992907
old_vs_fixed,p85,t2,0.0,0.0,1.0,0.7706422018348624
old_vs_fixed,p10,t1,0.0,0.0047694753577106515,0.9952305246422893,0.7709984152139461
old_vs_fixed,p101,t2,0.0,0.0,1.0,0.7712418300653595
old_vs_fixed,p32,t3,0.005305039787798408,0.011936339522546418,0.9827586206896551,0.7718832891246684
old_vs_fixed,p96,t3,0.008968609865470852,0.004484304932735426,0.9865470852017937,0.7719298245614035
old_vs_fixed,p22,t2,0.04358974358974359,0.0,0.9564102564102565,0.7729988052568698
old_vs_fixed,p20,t3,0.0034562211981566822,0.009216589861751152,0.9873271889400922,0.7730414746543779
old_vs_fixed,p12,t2,0.00684931506849315,0.003424657534246575,0.9897260273972602,0.773972602739726
old_vs_fixed,p34,t3,0.05426356589147287,0.007751937984496124,0.937984496124031,0.774074074074074
old_vs_fixed,p91,t2,0.0,0.0,1.0,0.7748091603053435
old_vs_fixed,p34,t4,0.0069605568445475635,0.0069605568445475635,0.9860788863109049,0.7748267898383372
old_vs_fixed,p12,t4,0.0031201248049922,0.0,0.9968798751950078,0.7752329192546584
old_vs_fixed,p68,t2,0.00544069640914037,0.00544069640914037,0.9891186071817193,0.7752992383025027
old_vs_fixed,p67,t3,0.0,0.022082018927444796,0.9779179810725552,0.7760736196319018
old_vs_fixed,p76,t3,0.009628610729023384,0.002751031636863824,0.9876203576341128,0.7764945652173914
old_vs_fixed,p74,t1,0.0,0.008174386920980926,0.9918256130790191,0.776566757493188
old_vs_fixed,p26,t4,0.0074962518740629685,0.005997001499250375,0.9865067466266867,0.7773613193403298
old_vs_fixed,p98,t3,0.1111111111111111,0.0,0.8888888888888888,0.7777777777777778
old_vs_fixed,p12,t1,0.0,0.0,1.0,0.7779700115340253
old_vs_fixed,p19,t3,0.00683371298405467,0.02050113895216401,0.9726651480637813,0.7790432801822323
old_vs_fixed,p88,t3,0.023255813953488372,0.046511627906976744,0.9302325581395349,0.7790697674418605
old_vs_fixed,p34,t1,0.0,0.0033112582781456954,0.9966887417218543,0.7791208791208791
old_vs_fixed,p60,t1,0.0068143100511073255,0.0068143100511073255,0.9863713798977853,0.7795608108108109
old_vs_fixed,p67,t1,0.005422993492407809,0.006507592190889371,0.9880694143167028,0.7800429184549357
old_vs_fixed,p90,t1,0.006329113924050633,0.006329113924050633,0.9873417721518988,0.780373831775701
old_vs_fixed,p19,t1,0.003393665158371041,0.005656108597285068,0.9909502262443439,0.7810055865921788
old_vs_fixed,p78,t3,0.003779289493575208,0.0007558578987150416,0.9954648526077098,0.7811799850634802
old_vs_fixed,p105,t2,0.007978723404255319,0.005319148936170213,0.9867021276595744,0.7824933687002652
old_vs_fixed,p27,t2,0.0067618332081141996,0.010518407212622089,0.9827197595792637,0.7824943651389933
old_vs_fixed,p60,t2,0.0,0.0,1.0,0.782608695652174
old_vs_fixed,p51,t2,0.012106537530266344,0.0036319612590799033,0.9842615012106537,0.782791817087846
old_vs_fixed,p74,t3,0.005012531328320802,0.007518796992481203,0.9874686716791979,0.7835820895522388
old_vs_fixed,p87,t3,0.0,0.05405405405405406,0.9459459459459459,0.7837837837837838
old_vs_fixed,p57,t3,0.0033259423503325942,0.011086474501108648,0.9855875831485588,0.7838137472283814
old_vs_fixed,p104,t4,0.00375234521575985,0.0075046904315197,0.9887429643527205,0.7839059674502713
old_vs_fixed,p11,t4,0.005037783375314861,0.0025188916876574307,0.9924433249370277,0.7839506172839507
old_vs_fixed,p94,t1,0.02027027027027027,0.01126126126126126,0.9684684684684685,0.785234899328859
old_vs_fixed,p35,t3,0.0,0.006535947712418301,0.9934640522875817,0.7859477124183006
old_vs_fixed,p60,t3,0.007782101167315175,0.023346303501945526,0.9688715953307393,0.7862595419847328
old_vs_fixed,p57,t1,0.004784688995215311,0.014354066985645933,0.9808612440191388,0.7862838915470495
old_vs_fixed,p27,t3,0.012126865671641791,0.024253731343283583,0.9636194029850746,0.7863805970149254
old_vs_fixed,p100,t2,0.0,0.004901960784313725,0.9950980392156863,0.7864077669902912
old_vs_fixed,p21,t1,0.009174311926605505,0.0022935779816513763,0.9885321100917431,0.7867324561403509
old_vs_fixed,p52,t2,0.011342155009451797,0.010396975425330813,0.9782608695652174,0.7873345935727788
old_vs_fixed,p27,t4,0.025898078529657476,0.02506265664160401,0.9490392648287385,0.7873851294903926
old_vs_fixed,p51,t1,0.001584786053882726,0.003169572107765452,0.9952456418383518,0.7876874506708761
old_vs_fixed,p75,t1,0.0058997050147492625,0.0029498525073746312,0.9911504424778761,0.7879008746355685
old_vs_fixed,p21,t2,0.00949367088607595,0.0010548523206751054,0.989451476793249,0.7884811416921509
old_vs_fixed,p100,t4,0.005555555555555556,0.005555555555555556,0.9888888888888889,0.7888888888888889
old_vs_fixed,p21,t3,0.011254019292604502,0.003215434083601286,0.9855305466237942,0.7890995260663507
